poles and towers || jraysonmitreorg::0.666666666667 zoombas::0.666666666667 al9::0.666666666667 fastfood::0.666666666667 vogelmann10::0.666666666667 keller4::0.666666666667 pp3751::0.666666666667 burlington::0.666666666667 vogelmann::0.666666666667 rayson::0.666666666667 useabl::0.666666666667 186823829::0.666666666667 onyx2::0.666666666667 offaxi::0.666666666667 annemari::0.666666666667 infecti::0.666666666667 13jame::0.666666666667 declutt::0.666666666667 crescent::0.666666666667 1000km::0.666666666667
predictive models || quinlan::0.333333333333 seldom::0.25 vers::0.2 c45program::0.2 werneck::0.2 httpsdwareonearthcomphilxdu::0.2 withheld::0.2 avsexpress::0.2 sommerfield::0.2 pratt::0.2 yt2::0.2 attrib2::0.2 attrib1::0.2 drillup::0.2 dykstra::0.2 multicpu::0.2 lindgren::0.2 treloar::0.2 hrswk::0.2 emtre::0.2
selective rearrangements || zplane::0.153846153846 431438may::0.153846153846 sumnerseesoft::0.153846153846 conferencepp::0.153846153846 pinhol::0.153846153846 laymt::0.153846153846 eadseand::0.153846153846 naylor::0.153846153846 archeotogi::0.153846153846 edgdproperti::0.153846153846 houstontx::0.153846153846 iaid::0.153846153846 jnteract::0.153846153846 anupamdartfljredp::0.153846153846 takenfrom::0.153846153846 trampamnci::0.153846153846 seidl::0.153846153846 ortbgrkic::0.153846153846 1118may::0.153846153846 faloutsosand::0.153846153846
context browsing task || leftneighbor::0.1 computelef::0.1 6726::0.1 maxsiz::0.1 sleep::0.1 asiz::0.1 nextsibl::0.1 lipakcsumanitobaca::0.1 giveup::0.1 5671::0.1 906::0.1 oldsiz::0.1 nonsignific::0.1 aheight::0.1 3890::0.1 redrawtreemap::0.1 bnextsibl::0.1 5001::0.1 indivis::0.1 distortbottom::0.1
automatic presentation systems || elementsof::0.0952380952381 neededdependson::0.0952380952381 createdfor::0.0952380952381 systemsprovid::0.0952380952381 understandingth::0.0952380952381 creategraphicalobject::0.0952380952381 spaceof::0.0952380952381 undon::0.0952380952381 theseappl::0.0952380952381 argumentsw::0.0952380952381 changemap::0.0952380952381 operationswil::0.0952380952381 elementsin::0.0952380952381 languagewith::0.0952380952381 behaviorsthat::0.0952380952381 setcreat::0.0952380952381 componentsad::0.0952380952381 feedbackin::0.0952380952381 valw::0.0952380952381 addedaggregateobject::0.0952380952381
structural relationships || httpdaviswpiedu::0.133333333333 23442::0.133333333333 extentbas::0.133333333333 2718::0.133333333333 stylus::0.133333333333 hyperbox::0.133333333333 tipl::0.133333333333 radiometr::0.133333333333 emax::0.133333333333 inord::0.133333333333 5dimension::0.133333333333 fyingfuamattrundenstgcswpiedu::0.133333333333 10314::0.133333333333 birch::0.133333333333 16288::0.133333333333 zoomingdistort::0.133333333333 vol252::0.133333333333 sizepopul::0.133333333333 16000::0.133333333333 emin::0.133333333333
sdm || plol108::0.0869565217391 p5967::0.0869565217391 scalesbetween::0.0869565217391 developedth::0.0869565217391 shellgraph::0.0869565217391 meistevenroth::0.0869565217391 lenses4::0.0869565217391 comparisonof::0.0869565217391 surfaceappear::0.0869565217391 screen4814::0.0869565217391 p173179::0.0869565217391 dataattribut::0.0869565217391 techniquebasedon::0.0869565217391 performanceus::0.0869565217391 p619626::0.0869565217391 neededwev::0.0869565217391 objectspati::0.0869565217391 associateddata::0.0869565217391 snapdrag::0.0869565217391 uncolor::0.0869565217391
scientific computing || pto::0.666666666667 sce::0.666666666667 rog::0.666666666667 osi::0.666666666667 523530::0.666666666667 debra::0.666666666667 osg::0.666666666667 rwhen::0.666666666667 terror::0.666666666667 400am::0.666666666667 yiel::0.666666666667 rem::0.666666666667 sar::0.666666666667 treaster::0.666666666667 mpt::0.666666666667 gla::0.666666666667 typetim::0.666666666667 anap::0.666666666667 malici::0.666666666667 33116368::0.666666666667
shape orientation || phong::0.125 665674::0.125 orthographicstraight::0.125 singlyori::0.125 anisotropi::0.125 handsculpt::0.125 1dir90::0.125 5007::0.125 knill::0.125 aci9875368::0.125 mamassian::0.125 orthographicobliqu::0.125 145156::0.125 21inch::0.125 boundarymask::0.125 4662::0.125 perspectiveobliqu::0.125 29272942::0.125 837850::0.125 1dir::0.125
data sets || 0780381548031700::0.0719424460432 1921::0.0704225352113 seattl::0.0636942675159 washington::0.0617283950617 c2003::0.0579710144928 076952055303::0.0567375886525 infovis03::0.056338028169 pass::0.0512820512821 greater::0.0507614213198 learn::0.0478468899522 kmean::0.047619047619 cr::0.0469483568075 physic::0.0469483568075 let::0.046511627907 2003::0.046511627907 expertis::0.0454545454545 refin::0.0454545454545 solv::0.0454545454545 uncertainti::0.0451127819549 discoveri::0.0449438202247
